speed,angle,power
0.279234728,0.55861457,0.466112771
0.276624275,0.555019238,0.45538525
0.289268313,0.562249902,0.454051068
0.29010217,0.56420362,0.457794284
0.302147503,0.564785021,0.464415374
0.310076498,0.567549269,0.459124743
0.301051975,0.571085429,0.462364282
0.305039317,0.563926439,0.456296546
0.322607966,0.573329333,0.455553966
0.319402567,0.570759274,0.456381831
0.291688754,0.565952391,0.450752223
0.267955559,0.57405263,0.443897513
0.269793576,0.560072164,0.456966573
0.288279192,0.574981613,0.45490664
0.294589898,0.580970553,0.449365792
0.307700156,0.570030029,0.447651908
0.307682978,0.573877938,0.449002337
0.298199548,0.555538111,0.462424652
0.290519753,0.546027314,0.470632024
0.265644976,0.544206585,0.484381099
0.259077604,0.559920484,0.480680743
0.259528348,0.557435912,0.480993055
0.273173065,0.555520656,0.479593518
0.314327348,0.568453511,0.462434475
0.320309815,0.566866725,0.455713541
0.319443572,0.582734381,0.447553794
0.305492558,0.58286429,0.444235081
0.283327834,0.58021393,0.459455971
0.284079958,0.576687124,0.464317315
0.309495252,0.5857517,0.468573556
0.324741169,0.563657117,0.47519626
0.308898297,0.576458895,0.488693196
0.308091336,0.573530245,0.477091795
0.317994963,0.576702894,0.483111648
0.310882057,0.564059636,0.487674392
0.272556959,0.558147476,0.483587651
0.293032702,0.560047584,0.475990271
0.322870929,0.573862706,0.476903578
0.347947442,0.568149483,0.471705139
0.333446834,0.57375377,0.472229985
0.287334285,0.574057784,0.468254402
0.243965058,0.569478877,0.456201162
0.246846051,0.574111396,0.44621382
0.274115924,0.569907645,0.436096834
0.279469337,0.573277999,0.425574968
0.269906381,0.568315794,0.41907282
0.265515525,0.565960912,0.412973164
0.272535275,0.578118165,0.420835108
0.260864656,0.578842365,0.423227738
0.265388256,0.563584863,0.413654076
0.268821585,0.57133847,0.41267282
0.273765083,0.56316352,0.406220997
0.251105289,0.569482146,0.39664227
0.243397753,0.570415475,0.397635907
0.240175039,0.562396746,0.391104989
0.272647765,0.566458002,0.390414174
0.28826716,0.567753433,0.395330335
0.270348579,0.570113139,0.396783595
0.264620624,0.578105463,0.390346978
0.268195795,0.562838991,0.382040611
0.290831655,0.571930186,0.388307665
0.280299125,0.558030659,0.376780039
0.279108908,0.545681013,0.373120151
0.278770299,0.555777912,0.364435312
0.280540496,0.564007801,0.363356893
0.265422387,0.567091881,0.369157339
0.251007215,0.562621105,0.371815126
0.245770726,0.564867792,0.373231967
0.244270903,0.559202211,0.378346948
0.253609949,0.561566641,0.388300299
0.256688112,0.562291728,0.392446016
0.264788107,0.561814556,0.394372917
0.253862219,0.565478394,0.387127365
0.256717763,0.569286729,0.394068333
0.243300767,0.566144198,0.386861033
0.233602583,0.571347435,0.374973465
0.271347211,0.575037178,0.369874564
0.26602433,0.564251998,0.373472768
0.253195367,0.575723021,0.375205979
0.255925084,0.576723077,0.383383052
0.261449791,0.579853637,0.388544284
0.251147253,0.578214883,0.408423733
0.273981229,0.580253154,0.398282573
0.300504333,0.584814744,0.397049175
0.329062521,0.580220411,0.405822423
0.339593274,0.579651531,0.406218578
0.358159225,0.579314195,0.415264942
0.35133087,0.575241418,0.429861759
0.318050577,0.583981379,0.440757174
0.285853882,0.575315145,0.449328905
0.272035017,0.58426809,0.461278554
0.290883425,0.577029225,0.461069105
0.284432677,0.582159397,0.457505689
0.295093373,0.587248253,0.472925078
0.316047122,0.585152411,0.468091787
0.352181834,0.585840413,0.470873849
0.332991627,0.578400946,0.460834599
0.309631876,0.585021473,0.468128269
0.302300127,0.575368716,0.457292404
0.323994655,0.588603392,0.44201197
0.330414918,0.582902585,0.424543762
0.311622409,0.578664302,0.423201662
0.306001828,0.580639299,0.407400521
0.305142439,0.583945373,0.40434429
0.346717649,0.576501559,0.409023372
0.345439798,0.58512053,0.413480575
0.301065768,0.57268914,0.413238482
0.312415638,0.580233715,0.418619706
0.344557097,0.585147938,0.428017278
0.331386921,0.590854306,0.442257715
0.31646571,0.582106417,0.428619405
0.305121894,0.57375272,0.406426482
0.282820509,0.585104601,0.395352218
0.261933407,0.587948498,0.369954515
0.293476794,0.58606111,0.361297969
0.34320193,0.598804681,0.34453576
0.327597687,0.601750058,0.369920867
0.294498392,0.602915407,0.381547299
0.289061918,0.610826557,0.404122465
0.288509613,0.59801533,0.429016408
0.266476029,0.606978978,0.456556041
0.281707675,0.59459017,0.466555578
0.304361812,0.593753644,0.4723685
0.316296679,0.598965111,0.476157715
0.301317217,0.591923992,0.471911342
0.320473478,0.597238463,0.463649892
0.342158913,0.596428831,0.466692168
0.313281527,0.603612097,0.481064708
0.266973891,0.611742757,0.485219782
0.276600379,0.614494902,0.470856018
0.295063423,0.601209145,0.4597021
0.302597434,0.608336572,0.462861046
0.315503622,0.598309275,0.474981242
0.336652154,0.594821862,0.469626705
0.339525689,0.591395979,0.464904286
0.314322941,0.598706804,0.47514706
0.305309473,0.597742124,0.485180685
0.313678372,0.597416036,0.489564745
0.312535734,0.611983163,0.480625912
0.332675774,0.609689101,0.491696957
0.32018754,0.600024568,0.488743411
0.321746775,0.589428306,0.491726467
0.326242414,0.597159242,0.494855424
0.339072813,0.603918542,0.513671749
0.343968517,0.596001215,0.513235475
0.33946671,0.598016202,0.511230039
0.332731987,0.589071535,0.528832068
0.320000519,0.604579232,0.537006777
0.307718844,0.603255317,0.530845215
0.304415817,0.611858222,0.526288079
0.304656479,0.60062887,0.522500197
0.305325442,0.602031268,0.517395676
0.310446788,0.598343305,0.520232425
0.332290152,0.58984975,0.521090027
0.343812125,0.592878152,0.531521632
0.33147721,0.604814484,0.537782558
0.325880862,0.594665578,0.526877142
0.316864903,0.610803771,0.51616138
0.300690808,0.605139947,0.506107024
0.308194242,0.595437474,0.494286949
0.340650521,0.588025595,0.477991294
0.341662376,0.585513653,0.460734707
0.292069235,0.569104645,0.448231669
0.217312528,0.566347428,0.42403615
0.212752288,0.568692601,0.39878863
0.259971336,0.584749885,0.366477484
0.296505401,0.589179534,0.349374512
0.314694014,0.595224095,0.345144504
0.306793834,0.59088436,0.35544133
0.324241709,0.597745518,0.390580706
0.344793537,0.59102709,0.427474841
0.36161419,0.592135546,0.46480695
0.377181049,0.586166545,0.492811589
0.371278829,0.588712306,0.502211784
0.309820013,0.595320995,0.507421899
0.320223972,0.586166694,0.499601829
0.329960054,0.578114256,0.489448053
0.356331003,0.575827091,0.464136884
0.34550251,0.578240167,0.453613958
0.317426462,0.581877491,0.429244182
0.302313066,0.585357348,0.424048543
0.310980275,0.584733737,0.414620232
0.343288662,0.586684836,0.415513231
0.342055934,0.584332005,0.423198562
0.307841608,0.589303154,0.429137464
0.263314663,0.589303877,0.437705175
0.25420531,0.594748315,0.454502929
0.280722616,0.599681183,0.454938834
0.295563438,0.598136676,0.461906696
0.310099664,0.607708791,0.472162926
0.315736412,0.608648589,0.484124708
0.309901732,0.604399345,0.493226216
0.299220024,0.608391031,0.494745353
0.277473393,0.597577406,0.501534984
0.243453067,0.60594061,0.506020431
0.255653735,0.650128627,0.498797216
0.33229303,0.721319034,0.488085607
0.365293964,0.783690022,0.480286311
0.342402625,0.785121028,0.450896844
0.302317884,0.779984402,0.417212383
0.287673617,0.779213214,0.369560988
0.308393102,0.775731379,0.3159501
0.310981083,0.781995329,0.29193235
0.313685939,0.774784521,0.271810963
0.336087509,0.777041235,0.263105356
0.380685609,0.771193144,0.273940146
0.390557469,0.769090996,0.273923195
0.353324279,0.770264688,0.303841003
0.325245091,0.789007036,0.309873342
0.334414152,0.791520502,0.30484553
0.340835665,0.798502643,0.312007613
0.344300344,0.797865824,0.304732615
0.343410635,0.792911549,0.307173606
0.323595284,0.799778796,0.318635168
0.318400902,0.808448455,0.344308409
0.30829172,0.813079793,0.372341035
0.311817377,0.805846826,0.344245905
0.298061842,0.792253869,0.306233579
0.292845971,0.781402476,0.271714073
0.275627797,0.790798574,0.240584765
0.249436691,0.79249323,0.229074958
0.215683898,0.78313939,0.199636168
0.198307876,0.791427881,0.184594479
0.199846977,0.794686184,0.162414638
0.225758643,0.801024276,0.148965176
0.203866316,0.759528481,0.130527913
0.179736956,0.755724677,0.117563651
0.157763551,0.756031415,0.102714003
0.150040369,0.763372813,0.081061683
0.145474768,0.772346758,0.070342903
0.158289114,0.788452909,0.051075841
0.16897375,0.795397273,0.032988481
0.172751896,0.781652772,0.016576099
0.185763185,0.788786175,0.014012935
0.214693628,0.809321891,0.019468967
0.209409969,0.819869756,0.027196164
0.163019696,0.827036891,0.028578501
0.136723852,0.819226679,0.033195783
0.160270279,0.812511625,0.034472406
0.189514838,0.826681931,0.03753546
0.202424636,0.816192841,0.032955458
0.187578906,0.818401259,0.03034947
0.133359969,0.829308547,0.022502522
0.106654568,0.818215892,0.023230012
0.100717826,0.81537208,0.018690763
0.118532167,0.814492815,0.015435194
0.129622904,0.797957806,0.011174927
0.120659637,0.812093291,0.004861458
0.098660872,0.828434333,-0.002626616
0.103073163,0.817820025,0.002376502
0.108562313,0.823185861,0.005878544
0.122093092,0.823123465,-0.00065017
0.10975231,0.82274913,-0.005184209
0.121017513,0.823808107,0.00815918
0.140334042,0.828817893,-0.002457067
0.14921903,0.824042173,0.005650611
0.164384382,0.815187619,-0.001280849
0.168316797,0.825344673,0.009269668
0.160313195,0.813086738,0.006010572
0.151590776,0.821957417,0.012915177
0.132786898,0.820279622,0.01448603
0.132008146,0.823851237,0.010624506
0.121873303,0.818204893,0.012234273
0.117090192,0.822371791,0.009762899
0.125710824,0.820225827,0.002241573
0.102894778,0.821209756,-0.004136792
0.077235367,0.815063722,0.005967876
0.086119352,0.822776965,-0.000342885
0.075218122,0.819541317,-0.001200885
0.071231032,0.81001969,0.000838851
0.087122834,0.77191881,-0.00146034
0.077688939,0.757105935,0.008802625
0.094976822,0.756669581,-0.001137861
