speed,angle,power
0.274216341,0.56423662,0.464719959
0.289414283,0.559013038,0.459151127
0.2872388,0.562697166,0.455958386
0.298253973,0.561597533,0.458640201
0.310069873,0.562806213,0.463336333
0.304493843,0.566747108,0.463970087
0.293101831,0.5682475,0.461559036
0.291410815,0.571908369,0.457652957
0.331556448,0.568324352,0.454584351
0.338020389,0.569270314,0.453372708
0.301924319,0.573497879,0.452869529
0.257379369,0.564221819,0.452197534
0.270367962,0.565298613,0.454133997
0.286853477,0.575941996,0.455450981
0.294766994,0.57267875,0.453075036
0.306316092,0.573196876,0.447941095
0.320908496,0.572064021,0.449526632
0.293243261,0.559605874,0.460113043
0.276621536,0.54969676,0.471426714
0.271695947,0.550665021,0.479286766
0.257629938,0.552363689,0.483596637
0.248789685,0.556362951,0.483173311
0.279683905,0.559550611,0.47645983
0.306592443,0.564573439,0.464045998
0.328570528,0.573444046,0.45236482
0.330458497,0.576916077,0.446345867
0.304845195,0.576918792,0.449035545
0.288601592,0.581476246,0.455921105
0.295181424,0.580161908,0.463099226
0.317182509,0.578379392,0.469262407
0.32771292,0.575182758,0.474651673
0.316625741,0.572855163,0.480647468
0.31043803,0.575692356,0.482928296
0.323470178,0.575380417,0.484218298
0.318980383,0.566430331,0.485416261
0.309140329,0.55704709,0.484122495
0.315166671,0.560094434,0.478624558
0.327723582,0.569008593,0.474148944
0.329484889,0.574533866,0.473957467
0.309116309,0.573742103,0.472999569
0.279818746,0.569649571,0.467082886
0.260852602,0.570351083,0.457865642
0.264253163,0.572787166,0.447392276
0.275869459,0.572533743,0.436384844
0.274473681,0.570033853,0.425915251
0.257275934,0.567833438,0.418836124
0.27086551,0.572161926,0.417140827
0.279366076,0.57745147,0.418665896
0.248306861,0.576302342,0.419274151
0.25817915,0.566328532,0.416315659
0.281288224,0.564368211,0.410021298
0.272247459,0.56763066,0.403122299
0.251302906,0.569516565,0.398094821
0.235180467,0.567735415,0.39554437
0.236947218,0.565724061,0.393933567
0.271415334,0.564162511,0.393623212
0.298572533,0.565560815,0.394273032
0.287090314,0.572343191,0.394281043
0.243968432,0.574494458,0.392255727
0.264821008,0.571667413,0.388033159
0.307053939,0.566694651,0.382709285
0.26814254,0.554469461,0.377135944
