speed,power curve,angle,power
0.206540377,0.124293688,0.734583418,0.109251878
0.2224238,0.123002866,0.747289602,0.108257293
0.207599213,0.125296225,0.751998943,0.106380201
0.217766629,0.130993634,0.758163303,0.109367829
0.221157334,0.143467749,0.74036071,0.108338752
0.224410719,0.132309545,0.73611723,0.110585512
0.218374779,0.143872212,0.729490786,0.113041072
0.220529247,0.126094502,0.724598346,0.121691424
0.214430422,0.131257876,0.703550265,0.118449488
0.214374853,0.128271598,0.705994437,0.121062306
0.229322853,0.142247429,0.719666281,0.134899259
0.234066473,0.17988679,0.736583154,0.165149586
0.251232427,0.201876486,0.750747494,0.177188362
0.249466019,0.21373385,0.743867723,0.193856993
0.258086576,0.215608455,0.750501755,0.199196167
0.258529493,0.224795588,0.743142119,0.220049819
0.253428131,0.22445744,0.739032454,0.216251281
0.25283198,0.216047541,0.738655966,0.200624395
0.255819209,0.203857429,0.726312158,0.202978988
0.248899385,0.198190736,0.713628574,0.206788872
0.252743786,0.228640998,0.70546134,0.227467681
0.272008387,0.26889035,0.706436804,0.261164037
0.28585892,0.315111168,0.703622175,0.29604094
0.305043322,0.369257341,0.719077935,0.336560465
0.310619253,0.414082321,0.706441311,0.40301127
0.32558023,0.458140676,0.699815411,0.459589405
0.328274601,0.466897638,0.690215841,0.439363052
0.309230243,0.387564778,0.671708977,0.380411526
0.28171053,0.317801607,0.677248272,0.321320795
0.271970007,0.269545859,0.674579319,0.295078349
0.277693167,0.281387867,0.661463897,0.302655964
0.273298615,0.284551843,0.675529148,0.311398655
0.28427891,0.302367258,0.666993183,0.311631349
0.293929427,0.324382952,0.684111406,0.328753182
0.289288755,0.333182062,0.685802716,0.326528834
0.29281085,0.32839241,0.692637596,0.318575987
0.285014642,0.316014976,0.688713111,0.30895539
0.287951088,0.321340061,0.685546337,0.315018857
0.292443544,0.313588974,0.676232693,0.319801058
0.290209928,0.317597862,0.680874133,0.323078042
0.269408882,0.288247612,0.694405993,0.289545624
0.278885698,0.27047279,0.675138663,0.266078981
0.270648722,0.279934897,0.666703808,0.262779097
0.282326,0.285858373,0.639956891,0.266433881
0.276636657,0.296825185,0.637214028,0.286371098
0.272373724,0.268852114,0.646355003,0.281508388
0.252850079,0.231629001,0.647040886,0.247906521
0.24524661,0.184270435,0.653198716,0.199212816
0.223438358,0.150630011,0.664457933,0.160221607
0.230615464,0.135168067,0.664862026,0.142397779
0.22353586,0.152473566,0.646487289,0.14240888
0.240726962,0.186162762,0.62804902,0.184958776
0.255539574,0.197003049,0.601517979,0.195862807
0.242686037,0.202112337,0.572636242,0.203606279
0.232374433,0.169064534,0.552978176,0.177870635
0.217690755,0.130549581,0.578057924,0.149597862
0.224057935,0.148181339,0.585122534,0.158246375
0.237867146,0.175874094,0.599548416,0.183242853
0.247730002,0.197279819,0.620575762,0.215026694
0.252464445,0.22227594,0.65069321,0.231177003
0.256228363,0.223470133,0.654238319,0.230145136
0.250179395,0.202329272,0.64815093,0.198371718
0.232742633,0.16398258,0.638193892,0.163331204
0.213014851,0.128280863,0.648836533,0.119979703
0.197786125,0.087896398,0.63810819,0.094139635
0.189899929,0.069827229,0.640959656,0.067784738
0.174321753,0.054207803,0.64425438,0.05822136
0.158746926,0.041257689,0.642262265,0.048251866
0.157959049,0.03141095,0.627812117,0.034131348
0.166426496,0.036383527,0.629254212,0.038639502
0.164284616,0.052262983,0.624266449,0.061750261
0.177162832,0.06145809,0.633131894,0.057780892
0.171424136,0.050652243,0.631779429,0.053207222
0.151498873,0.017303618,0.644035112,0.026462314
0.139594464,0.01360991,0.64405117,0.020683731
0.128565317,0.007473128,0.647327496,0.020515852
0.151076269,0.031208795,0.642966806,0.034528434
0.183634824,0.064104523,0.630144729,0.06557619
0.197357637,0.087764908,0.660588932,0.089919519
0.197694818,0.102123233,0.646191502,0.105724562
0.214305063,0.130927616,0.646510517,0.126335101
0.232012564,0.169578105,0.659304324,0.155360148
0.250783806,0.209787418,0.663953278,0.19274673
0.248997204,0.209566408,0.667620627,0.18561634
0.26230305,0.225959509,0.658970991,0.203047287
0.279046963,0.310253418,0.651342838,0.299023193
0.320708191,0.418665165,0.654133157,0.387251179
0.335583185,0.489585191,0.663766261,0.426674643
0.336056672,0.504572354,0.659365024,0.451618828
0.329251568,0.497134676,0.658641786,0.448366297
0.3355668,0.497811415,0.65711553,0.458018869
0.334201181,0.51845777,0.645405283,0.482759883
0.359029366,0.582708667,0.646296607,0.544377605
0.380533826,0.690151415,0.630526973,0.626217449
0.403193765,0.814819545,0.632393958,0.703969073
0.421790093,0.865714191,0.622561718,0.764673755
0.418620887,0.8584701,0.628217362,0.764035331
0.402274344,0.793243883,0.627561484,0.712454223
0.388866692,0.749777893,0.631742005,0.669249639
0.385067985,0.733670244,0.632013615,0.649750312
0.385175668,0.719676676,0.644840386,0.651866118
0.374777183,0.678802738,0.632581938,0.636327119
0.360849273,0.609773287,0.626000756,0.593869441
0.343085919,0.555284427,0.608991188,0.528306887
0.342939869,0.544918653,0.605186608,0.51402534
0.346686875,0.531634553,0.60427472,0.513577823
0.33758049,0.51846549,0.60180807,0.512386566
0.342710149,0.559673437,0.59316327,0.511516671
0.361099769,0.638042621,0.591184461,0.554621259
0.392212088,0.751666276,0.585679007,0.622760962
0.418256075,0.849184405,0.582658065,0.700477253
0.41775142,0.862016446,0.575411589,0.746943238
0.415881063,0.851835897,0.576090479,0.7385714
0.410644506,0.838374915,0.582000427,0.726073276
0.420580118,0.861552574,0.567345881,0.737199473
0.443042389,0.917503834,0.561066991,0.794489206
0.450262275,0.946509604,0.54740705,0.831113015
0.462141502,0.946752444,0.548507478,0.858533733
0.448612962,0.946981176,0.562607839,0.893178365
0.456300569,0.946965987,0.552421301,0.897696766
0.460199414,0.961429019,0.553701517,0.91569961
0.457030937,0.952168784,0.54721533,0.905375495
0.457649097,0.938278238,0.553881722,0.880096702
0.44524369,0.925305013,0.543740858,0.848031255
0.444108011,0.937052958,0.543421572,0.864701793
